stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10571,CCOBAT,Centre Commercial Batelière,,14.607437,-61.092578,1,,0
20652,1559,Centre Commercial Batelière,,14.607437,-61.092578,0,10571,0
10617,CIOB,Ctre Commercial Batelière,,14.607913,-61.092478,1,,0
20700,1720,Ctre Commercial Batelière,,14.608426,-61.092057,0,10617,0
10618,COCOTE,Cocoteraie,,14.609371,-61.092761,1,,0
20701,1721,Cocoteraie,,14.609581,-61.092934,0,10618,0
10619,CONIF,Coniferes,,14.610257,-61.094156,1,,0
20702,1722,Coniferes,,14.610255,-61.094071,0,10619,0
10620,ASSEDIC,Assedic,,14.611156,-61.093221,1,,0
20703,1723,Assedic,,14.611023,-61.092763,0,10620,0
10404,IDEAL,Ideal,,14.610679,-61.090921,1,,0
20704,1724,Ideal,,14.610622,-61.091089,0,10404,0
10403,MARIZ,Mariz,,14.611032,-61.089535,1,,0
20705,1725,Mariz,,14.611022,-61.089446,0,10403,0
10621,LALLEE,L'allée,,14.612478,-61.089563,1,,0
20706,1726,L'allée,,14.612257,-61.089556,0,10621,0
10624,TROY,Troy,,14.615101,-61.088302,1,,0
20709,1729,Troy,,14.615251,-61.088229,0,10624,0
10625,LIONS,Lions,,14.616479,-61.087615,1,,0
20710,1730,Lions,,14.616344,-61.087648,0,10625,0
10626,ALAMA33,Alamandas,,14.619151,-61.086523,1,,0
20711,1732,Alamandas,,14.619151,-61.086523,0,10626,0
10627,IXORA33,Ixoras,,14.618191,-61.085482,1,,0
20712,1733,Ixoras,,14.618191,-61.085482,0,10627,0
10628,HICL,Hotel Des Impôts,,14.617234,-61.084272,1,,0
20713,1734,Hotel Des Impôts,,14.617232,-61.084245,0,10628,0
